Model,TBS2204B
Firmware Version,v1.32.139

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.002
Sample Interval,1.6e-07
Filter Frequency,2e+08
Record Length,200000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH3
-1.59621e-02,0.159273
-1.59619e-02,0.159266
-1.59618e-02,0.159258
-1.59616e-02,0.158758
-1.59614e-02,0.158313
-1.59613e-02,0.157641
-1.59611e-02,0.157102
-1.59610e-02,0.156695
-1.59608e-02,0.155695
-1.59606e-02,0.15425
-1.59605e-02,0.15325
-1.59603e-02,0.152023
-1.59602e-02,0.151008
-1.59600e-02,0.15093
-1.59598e-02,0.149484
-1.59597e-02,0.148156
-1.59595e-02,0.148055
-1.59594e-02,0.147602
-1.59592e-02,0.146914
-1.59590e-02,0.145766
-1.59589e-02,0.144992
-1.59587e-02,0.144992
-1.59586e-02,0.145008
-1.59584e-02,0.145008
-1.59582e-02,0.144992
-1.59581e-02,0.144633
-1.59579e-02,0.144648
-1.59578e-02,0.145102
-1.59576e-02,0.145539
-1.59574e-02,0.145445
-1.59573e-02,0.145961
-1.59571e-02,0.146961
-1.59570e-02,0.147219
-1.59568e-02,0.147742
-1.59566e-02,0.148664
-1.59565e-02,0.150063
-1.59563e-02,0.15093
-1.59562e-02,0.151227
-1.59560e-02,0.151969
-1.59558e-02,0.153453
-1.59557e-02,0.154461
-1.59555e-02,0.155094
-1.59554e-02,0.156289
-1.59552e-02,0.157875
-1.59550e-02,0.158961
-1.59549e-02,0.159805
-1.59547e-02,0.161109
-1.59546e-02,0.161867
-1.59544e-02,0.163539
-1.59542e-02,0.165133
-1.59541e-02,0.166273
-1.59539e-02,0.167703
-1.59538e-02,0.168781
-1.59536e-02,0.17025
-1.59534e-02,0.170766
-1.59533e-02,0.17175
-1.59531e-02,0.172883
-1.59530e-02,0.172867
-1.59528e-02,0.172992
-1.59526e-02,0.172828
-1.59525e-02,0.17282
-1.59523e-02,0.172664
-1.59522e-02,0.172203
-1.59520e-02,0.170805
-1.59518e-02,0.1695
-1.59517e-02,0.169234
-1.59515e-02,0.168359
-1.59514e-02,0.167125
-1.59512e-02,0.16543
-1.59510e-02,0.164234
-1.59509e-02,0.163086
-1.59507e-02,0.161508
-1.59506e-02,0.160477
-1.59504e-02,0.159258
-1.59502e-02,0.157773
-1.59501e-02,0.156344
-1.59499e-02,0.155156
-1.59498e-02,0.15425
-1.59496e-02,0.153438
-1.59494e-02,0.152227
-1.59493e-02,0.150961
-1.59491e-02,0.15075
-1.59490e-02,0.150984
-1.59488e-02,0.149984
-1.59486e-02,0.148914
-1.59485e-02,0.148391
-1.59483e-02,0.147789
-1.59482e-02,0.147344
-1.59480e-02,0.147055
-1.59478e-02,0.147102
-1.59477e-02,0.147289
-1.59475e-02,0.14725
-1.59474e-02,0.147094
-1.59472e-02,0.147055
-1.59470e-02,0.147
-1.59469e-02,0.147195
